,honest.hon,faking.hon,persona_GPT3.5.hon,shape_GPT3.5.hon,persona_GPT4.hon,shape_GPT4.hon,persona_LLaMA3.hon,shape_LLaMA3.hon,honest.emo,faking.emo,persona_GPT3.5.emo,shape_GPT3.5.emo,persona_GPT4.emo,shape_GPT4.emo,persona_LLaMA3.emo,shape_LLaMA3.emo,honest.ext,faking.ext,persona_GPT3.5.ext,shape_GPT3.5.ext,persona_GPT4.ext,shape_GPT4.ext,persona_LLaMA3.ext,shape_LLaMA3.ext,honest.agr,faking.agr,persona_GPT3.5.agr,shape_GPT3.5.agr,persona_GPT4.agr,shape_GPT4.agr,persona_LLaMA3.agr,shape_LLaMA3.agr,honest.con,faking.con,persona_GPT3.5.con,shape_GPT3.5.con,persona_GPT4.con,shape_GPT4.con,persona_LLaMA3.con,shape_LLaMA3.con,honest.ope,faking.ope,persona_GPT3.5.ope,shape_GPT3.5.ope,persona_GPT4.ope,shape_GPT4.ope,persona_LLaMA3.ope,shape_LLaMA3.ope
1,0.525269108,0.372742938,0.410603961,0.89230736,0.249969058,0.803150637,0.617187813,0.826457716,0.57892512,0.504005231,-1.156195919,0.943864233,0.150662953,0.822049187,0.456049948,0.917181164,0.658700548,0.454875314,0.792569398,0.544784706,0.725251097,0.852900749,0.866207306,0.866882838,0.720350907,0.607062471,0.35658986,0.68881741,0.685334305,0.815926302,0.721264208,0.781473645,0.572826994,0.576623788,0.46590022,0.583467464,0.403648674,0.884519311,0.664763329,0.76821752,0.662245555,0.675864696,0.531955689,0.709993108,0.896313237,0.701270536,0.660530336,0.928263831
2,0.53665027,0.549649939,-0.177051437,0.34413794,0.486800435,0.1439508,0.697359973,0.78113979,0.615054029,0.551365696,0.036335037,0.278920501,0.809869043,0.741246445,0.502534311,0.294171211,0.441254574,0.496489524,0.610258541,0.89783081,0.600070158,0.881983289,0.704937361,0.746907501,0.712028598,0.673399964,0.326793024,0.64511572,0.348990225,0.964184935,0.65031614,0.618056003,0.640185643,0.630809833,0.794812129,0.709339566,0.904052524,0.719733716,0.894645093,0.876799547,0.540818161,0.606558788,0.570081831,0.669405782,0.1251898,0.763474713,0.658324468,0.864595075
3,0.668537803,0.587300306,0.462518737,0.695158377,0.479509215,0.917927726,0.358441744,0.651513392,0.696061626,0.673806951,-0.123008854,0.866143388,0.646865387,0.877942149,0.702306679,0.934754564,0.653204474,0.618280474,-0.207981916,0.603759767,0.584872225,0.829297766,0.788208117,0.918455767,0.506478088,0.499525437,0.415325022,0.749997387,-0.373279298,0.636685671,0.399060725,0.866972867,0.63877282,0.63289186,0.226620494,0.541093565,0.321411936,0.416690029,0.37019808,0.587427073,0.640075255,0.662395043,-0.399232166,0.753605764,0.098728819,0.806909359,0.525495649,0.760332662
4,0.558420168,0.459872074,-0.16679436,0.114598914,0.857649995,0.065764823,0.809110275,0.706218725,0.539241878,0.381633209,0.140200878,0.090696798,0.466125175,0.55456226,0.577028165,0.461397044,0.699247013,0.608634755,0.166255123,0.638141522,0.531387543,0.834799245,0.797801437,0.893904626,0.741675984,0.700552509,0.40499146,0.655792662,-0.112721883,0.83985583,0.455532126,0.86660012,0.722880679,0.631396941,0.394031063,0.600598401,0.314426253,0.705488947,0.515359,0.547818025,0.432002939,0.37874059,-0.083897093,0.271196577,0.30446209,0.644431806,0.391537401,0.435395691
5,0.729774224,0.595355759,0.542389412,0.812702207,0.833423785,0.919463223,0.882607093,0.944163194,0.722717622,0.645196568,0.668760715,0.850652768,0.841513511,0.883995694,0.724165867,0.893097536,0.579994528,0.508579831,0.115447663,0.701337758,0.686330102,0.62763673,0.72926652,0.697683962,0.579558231,0.579531597,0.33616623,0.632786595,0.365381673,0.757697571,0.483256854,0.326880483,0.531289947,0.493248687,0.776728556,0.754080192,0.87340933,0.898604905,0.869247454,0.742346713,0.615591747,0.6228223,-2.521087613,0.716129786,1.358754328,0.941450195,0.669823419,0.952043408
6,0.623386573,0.637932862,0.681718852,0.610049537,0.65586117,0.932232523,0.853026827,0.927168134,0.701541096,0.592866277,0.190255276,0.318416171,0.665574229,0.717143657,0.700979105,0.758314357,0.738627631,0.662311322,0.673440848,0.870951544,0.921006248,0.903287431,0.809979841,0.8227336,0.60470741,0.473143146,0.475601977,0.861109011,0.714252343,0.942640693,0.7244529,0.90156959,0.682248027,0.545478483,0.759788185,0.889753973,0.656933323,0.867490593,0.806287208,0.587846663,0.539455929,0.511466328,-0.19339288,0.579817518,0.34067658,0.79786984,0.65716189,0.764444349
7,0.502516227,0.469178675,0.226185848,0.579027214,0.809620968,0.492523626,0.673028303,0.779827062,0.509230149,0.515914467,0.266401011,0.192123313,0.591901516,0.566882245,0.401265662,0.651303684,0.65927907,0.621187685,0.726289971,0.510766294,0.930722128,0.868545887,0.727786415,0.691461735,0.499503467,0.409490939,0.615333465,0.779592451,0.726752285,0.920760386,0.699053798,0.871729298,0.640050471,0.624629096,0.340440859,0.2425859,0.445325531,0.749960334,0.569757873,0.816015803,0.619331764,0.622458335,0.049174961,0.721533808,0.001669791,0.557406178,0.531032765,0.9073737
8,0.79656932,0.731256126,0.410725108,0.687843871,0.636252811,0.973304146,0.893325105,0.958354683,0.605784024,0.56859258,0.652823475,0.864801818,0.761870268,0.889355433,0.677409147,0.876255257,0.43719436,0.500281921,0.084985623,0.69923171,0.672633981,0.731146265,0.609489718,0.725700877,0.491634373,0.373875546,0.752674402,0.698454872,0.676262868,0.587207936,0.733280485,0.77459747,0.568155888,0.534000978,0.187234682,0.124491872,0.59373672,0.815016587,0.703049986,0.86173861,0.638327345,0.643877971,-0.006381049,0.714358176,-0.024261228,0.500599987,0.194770301,0.28632228
9,0.544175283,0.536902899,0.053911247,0.25214846,0.562523588,0.262819041,0.672785834,0.741488022,0.739716543,0.597313,0.55266952,0.657353325,0.418571538,0.698001128,0.824192398,0.653347272,0.545228525,0.465799001,0.411191691,0.717562409,0.858723363,0.866993838,0.669981961,0.811690691,0.48578695,0.448385622,0.256455472,0.778092256,0.513553237,0.8156786,0.477320142,0.40022705,0.552297484,0.4699764,0.579109213,0.782281686,0.853214705,0.862674134,0.787979492,0.724256116,0.451504936,0.375465571,0.404894331,0.730140486,0.751983756,0.636355146,0.459126608,0.72079579
10,0.731290521,0.693904579,0.509932112,0.7503312,0.658466357,-0.939760041,0.80081982,0.858056832,0.631348472,0.494027192,0.053786327,0.506009107,0.160719814,0.031800748,0.259522983,0.594344429,0.731853317,0.676464714,0.747859491,0.83592698,0.86773781,0.975101297,0.742596821,0.896518552,0.446140571,0.312833274,0.557536138,0.744159109,0.809695807,0.619908149,0.62279564,0.811703519,0.611289632,0.634282912,0.304673575,0.389544458,0.625381676,0.679941912,0.661703189,0.829825541,0.734906918,0.741552386,0.583872024,0.679466028,0.829416818,0.930789278,0.811846938,0.797875068
