"chisq","df","cfi","tli","rmsea","srmr_bentler_nomean"
"honest",11873.0114289029,237,0.760653375341652,0.72126722191686,0.0825545557142236,0.0772000052146514
"persona_GPT3.5",813.869781661435,237,0.657941139210947,0.601652972245659,0.0903767229574199,0.10413005600604
"shape_GPT3.5",2655.84523561134,237,0.65894826889716,0.602825832133401,0.184445999690552,0.169831116772688
"shape_GPT4",4727.10154324099,237,0.576792758907976,0.507151061006757,0.2513004584942,0.239634135699079
"persona_LLaMA3",2385.23359945468,237,0.60411681035535,0.538971475350534,0.173822484074491,0.170791739459694
"shape_LLaMA3",4872.25704892651,237,0.57516433495274,0.505254668552558,0.255330156333214,0.227061015640799
