"chisq","df","cfi","tli","rmsea","srmr_bentler_nomean"
"normal_human",1747.43257798636,80,0.85244118611854,0.806329056780583,0.115626156634347,0.0797133167367606
"old_people",242.746277004825,80,0.832535541145106,0.780202897752951,0.128085419537382,0.0930695998802499
"persona_GPT3.5",330.287227236393,80,0.860902568805915,0.817434621557764,0.102291313630879,0.0739785268808096
"shape_GPT3.5",1421.73028822472,80,0.733805858157669,0.65062018883194,0.236443288498595,0.174969688815115
"persona_GPT4",601.517188538126,80,0.767751944664582,0.695174427372264,0.147410592752879,0.09666985744006
"shape_GPT4",1858.25516989594,80,0.736217067369852,0.653784900922932,0.272202067244778,0.116048530245017
"persona_LLaMA3",954.848179468714,80,0.779594765930065,0.71071813028321,0.190924088259871,0.119841948300522
"shape_LLaMA3",1988.58444879059,80,0.717361314613091,0.629036725429682,0.283421291218748,0.149177898700085
