"normal_human","old_people","persona_GPT3.5","shape_GPT3.5","persona_GPT4","shape_GPT4","persona_LLaMA3","shape_LLaMA3"
"1",0.660544814136639,0.394813886028118,0.590930624681612,0.883470282107478,0.477501619837155,0.896245668624058,0.845498718173508,0.870346061898876
"2",0.58749319289184,0.421076462066546,0.630990418522799,0.798884428243557,0.472245625374181,0.877278139465471,0.860836897154731,0.731733366642913
"3",0.774661830345052,0.868815718846367,0.802851045395001,0.926076205603851,0.858306481098456,0.942203243589269,0.85644156821631,0.854315354453838
"4",0.69901589366717,0.835963063870297,0.727341336682137,0.874363908307629,0.755010515746619,0.929360144307969,0.896940479102191,0.992052156529608
"5",0.80094332473925,0.801114034326732,0.649799566543899,0.825391750461593,0.896429477480951,0.922068077416606,0.94417700683366,0.854297909988173
"6",0.648991565445417,0.645408729192125,0.737508152915325,0.978896167322411,0.506534682398836,0.959052148108316,0.867025293707667,0.951168897085041
"7",0.700946488490788,0.758714270032453,0.740078173644096,0.821856712719485,0.795103058538638,0.929596410428977,0.86757410622399,0.965065236072258
"8",0.888464946600237,0.864259468457282,0.777351765659267,0.592383241280303,0.822630298562532,0.858879837719191,0.745062331965519,0.806185604606603
"9",0.791197518932068,0.77167358381251,0.897146619409837,1.02781546328702,0.885717506749637,0.938400872976019,0.95235661048802,0.924262304938708
"10",0.842452171500056,0.866528971539978,0.714272107711466,0.818590679502939,0.674312082426171,0.817714137119956,0.754534928216296,0.859460850023771
"11",0.877265620591474,0.912723601749691,0.915534204007484,0.99318841140949,0.876824504280384,1.0261965607975,0.96069687324711,0.958456487742517
"12",0.852484524291556,0.821929882492326,0.561340434078724,0.658761079508904,0.637913207992669,0.73900823831525,0.791694880822067,0.801876824912686
"13",0.740744887811498,0.804038382030734,0.626221547220411,0.898710259551228,0.549880023731998,0.966208652954782,0.663529023556191,0.93154018457136
"14",0.708693870392098,0.715937812484504,0.598718453555258,0.936165752714318,0.496074035555437,0.868800775313919,0.64762742428701,0.961711573197084
"15",0.806003982677895,0.779146248143084,0.651153864720199,0.781270909188348,1.05298853021952,0.91966111641263,0.893740495848914,0.818742726536478
